URY,PER,CUB,USA,ISL,FIN,FRA,GRC,MAR,ZAF,CMR,SAU,IND,MNG,HKG,JPN,CHN,NZL,FJI
2.455,4.543,5.606,2535.942,0.74,6.547999999999999,202.308,4.129,2.5610000000000004,61.038999999999994,0.139,5.141,66.604,0.28600000000000003,1.319,102.559,78.648,8.57,0.121
2.623,4.774,6.471,2612.37,0.645,7.98,228.762,4.5760000000000005,2.928,65.15,0.183,-0.348,69.722,0.293,1.557,123.484,101.72399999999999,8.171,0.132
3.155,5.188,6.284,2545.08,0.777,8.658,227.021,4.8,3.565,70.891,0.282,-0.172,73.493,0.3,1.535,130.435,128.222,9.321,0.158
3.5060000000000002,5.513999999999999,6.192,2605.745,0.9159999999999999,7.57,214.58599999999998,4.888,4.173,71.005,0.20199999999999999,0.47600000000000003,74.878,0.304,1.729,145.805,134.102,8.552,0.16899999999999998
3.737,6.236000000000001,5.95,2483.052,0.78,9.156,226.391,5.086,3.5869999999999997,73.907,0.231,1.238,78.73899999999999,0.48700000000000004,1.7990000000000002,142.577,161.256,9.068,0.158
3.92,6.126,6.778,2721.722,0.912,10.93,239.025,5.957999999999999,3.5580000000000003,82.946,0.23399999999999999,2.114,85.441,0.59,1.88,141.918,190.891,9.394,0.172
4.023,6.313,5.843999999999999,2852.9040000000005,0.9490000000000001,12.172,268.546,6.291,3.5210000000000004,87.273,0.23800000000000002,1.63,88.456,0.6890000000000001,2.121,160.688,216.34799999999998,9.677,0.19399999999999998
4.433,6.676,13.868,2828.612,0.9640000000000001,12.245,277.548,6.819,3.056,89.662,0.256,2.099,99.236,0.762,2.363,188.128,256.348,10.307,0.165
3.9789999999999996,7.376,17.998,2740.925,1.092,10.610999999999999,266.20799999999997,7.452999999999999,3.2680000000000002,96.264,0.278,3.36,103.72399999999999,1.136,2.374,181.22099999999998,525.381,10.182,0.17600000000000002
4.388,7.216,15.665,2823.005,1.238,13.556,262.289,8.121,3.3689999999999998,94.473,0.278,1.854,109.819,1.345,2.7030000000000003,192.62,720.1519999999999,10.319,0.198
4.315,8.165,13.687000000000001,2887.82,1.212,15.087,271.361,9.392000000000001,3.636,97.844,0.271,2.674,120.57600000000001,1.2930000000000001,2.9530000000000003,232.5,778.9789999999999,11.532,0.19399999999999998
