URY,PER,CUB,USA,ISL,FIN,FRA,GRC,MAR,ZAF,CMR,SAU,IND,MNG,HKG,JPN,CHN,NZL,FJI
2239000,7777000,5920000,158804000,143000,4008000,41834000,7669000,8986000,13628000,4307000,3121000,376324992,780000,1974000,82802000,554419008,1908000,289000
2261000,7976000,6050000,160872000,145000,4050000,42031000,7743000,9243000,13922000,4384000,3199000,382376992,794000,2058000,84316000,569908992,1948000,296000
2286000,8185000,6179000,163266000,148000,4097000,42316000,7814000,9529000,14226000,4462000,3284000,388799008,808000,2150000,85659000,582576000,1993000,305000
2313000,8401000,6304000,165910000,151000,4144000,42655000,7883000,9837000,14542000,4542000,3373000,395544000,823000,2251000,86870000,593366016,2040000,314000
2342000,8626000,6424000,168736000,154000,4192000,43025000,7948000,10163000,14868000,4623000,3465000,402579008,839000,2359000,87981000,603052032,2088000,325000
2373000,8858000,6539000,171684992,158000,4238000,43411000,8011000,10503000,15207000,4707000,3558000,409880992,855000,2473000,89018000,612241984,2136000,335000
2404000,9099000,6652000,174704992,161000,4282000,43809000,8071000,10853000,15557000,4793000,3654000,417443008,872000,2591000,90004000,621363008,2183000,346000
2437000,9348000,6765000,177751008,165000,4324000,44221000,8127000,11212000,15921000,4883000,3752000,425271008,890000,2710000,90954000,630678016,2230000,357000
2471000,9606000,6881000,180788000,168000,4363000,44659000,8180000,11578000,16299000,4976000,3855000,433380992,910000,2828000,91878000,640296000,2276000,368000
2505000,9875000,7005000,183786000,172000,4400000,45138000,8229000,11951000,16691000,5074000,3966000,441799008,931000,2941000,92782000,650212992,2323000,381000
2539000,10155000,7141000,186720992,176000,4435000,45673000,8274000,12329000,17100000,5177000,4087000,450548000,956000,3046000,93674000,660408000,2373000,393000
2572000,10447000,7291000,189570000,179000,4468000,46267000,8314000,12711000,17525000,5285000,4219000,459641984,982000,3143000,94561000,670953024,2424000,407000
2604000,10749000,7454000,192314000,183000,4499000,46907000,8351000,13095000,17966000,5399000,4363000,469076992,1011000,3230000,95459000,682102976,2477000,422000
2635000,11062000,7623000,194932000,186000,4527000,47561000,8385000,13478000,18423000,5518000,4517000,478825984,1042000,3311000,96389000,694339008,2530000,436000
2665000,11383000,7793000,197408000,189000,4550000,48184000,8419000,13858000,18896000,5643000,4677000,488848000,1075000,3390000,97379000,708254976,2581000,451000
2695000,11711000,7958000,199734000,192000,4569000,48747000,8454000,14230000,19385000,5774000,4844000,499123008,1107000,3467000,98447000,724219008,2627000,464000
2723000,12046000,8115000,201896000,195000,4581000,49233000,8490000,14595000,19888000,5910000,5015000,509632000,1140000,3546000,99596000,742414976,2667000,476000
2750000,12387000,8266000,203904992,197000,4589000,49651000,8528000,14954000,20407000,6052000,5195000,520400992,1173000,3625000,100822000,762580992,2703000,488000
2775000,12735000,8414000,205806000,200000,4594000,50025000,8569000,15307000,20942000,6201000,5388000,531513984,1207000,3703000,102124000,784075008,2737000,499000
2795000,13093000,8561000,207659008,202000,4601000,50387000,8614000,15657000,21496000,6357000,5600000,543084032,1242000,3778000,103496000,805985984,2774000,510000
2810000,13460000,8713000,209512992,204000,4612000,50764000,8664000,16005000,22070000,6520000,5836000,555190016,1279000,3849000,104929000,827601024,2818000,521000
2818000,13836000,8868000,211384000,207000,4629000,51163000,8717000,16351000,22665000,6690000,6101000,567868032,1317000,3914000,106427000,848760000,2871000,532000
2821000,14222000,9025000,213270000,210000,4651000,51573000,8775000,16697000,23282000,6867000,6393000,581086976,1357000,3974000,107976000,869486016,2930000,543000
2822000,14616000,9179000,215179008,213000,4675000,51980000,8840000,17049000,23913000,7053000,6712000,594769984,1397000,4038000,109529000,889484992,2989000,554000
